SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,cld_distance
SND2018101809322801,55.29367,34.075447,404.63736,93.64079,0.011453552166866818,0.029264286371907502,0.012336641687410875,0.021154712935219935,0.007539138712969155,0.027262337263910186,1.1116877968754046
SND2018101809322802,55.300316,34.067326,404.83475,93.58463,0.007965640618521272,0.02025398107180976,0.010225101449273374,0.01206773221631308,0.004115363760955693,0.026133483075659568,2.1650320231564795
SND2018101809322803,55.306908,34.059128,404.2278,93.5974,0.009377462551291094,0.01253465671942412,0.008102764645690224,0.019370587838350058,0.004912542743887449,0.028595922282320847,3.1426321641171273
SND2018101809322804,55.313423,34.050877,404.04776,93.720184,0.018115189286787944,0.030448040237411517,0.008422267540223221,0.025797940876685785,0.009374810630101262,0.01812450286446599,2.689785134371821
SND2018101809322805,55.319794,34.042664,403.91,93.69487,0.007757578532166503,0.018088431311501296,0.004690168922619405,0.016360674048957486,0.005221735149916923,0.007718728495012297,2.6540209107100883
SND2018101809322806,55.326096,34.034386,404.20285,93.69104,0.0067993595222420825,0.004116235068558656,0.0042510003645932605,0.007201298570872867,6.135452362135938e-05,0.02175010519761923,2.915892616685156
SND2018101809322807,55.332302,34.026066,405.1829,93.651634,0.0023613591583630314,0.011609578487316799,0.0026421778062161744,0.002350346530692449,-0.002709640711202455,0.02652109420580715,3.5161466975035687
SND2018101809322808,55.338417,34.017693,403.06277,93.805,0.0018121572224152646,0.015092083904275922,0.003528012330281237,-0.002780651969485564,-0.0031962750282939468,0.02780776515261046,4.315226599692792
SND2018101809322832,55.29476,34.08729,404.04364,93.09827,0.012901197197361186,0.053857085361276376,0.021324331801738018,0.02065513709990342,0.01722053721449787,0.020663411138030125,0.7010215544363987
SND2018101809322833,55.301357,34.079094,405.6062,93.63165,0.011844843908168187,0.010208736305681698,0.012433412509074919,0.011041968953129002,0.004815543343805818,0.02773584188835932,1.5945023706451544
SND2018101809322834,55.307877,34.070847,405.2206,93.52422,0.01413796280840457,0.01371981764856449,0.014952227520587813,0.012174011961838763,0.01149234926081681,0.013839120243721432,2.4972145462665827
SND2018101809322835,55.314255,34.062634,404.8244,93.85106,0.04102176053549429,0.05693690903674645,0.04082302689593395,0.00826978809646882,0.031183896655552493,0.026187291180909723,2.460645799760785
