SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809322605,55.353783,33.922836,400.80786,93.71389,0.00045216946430541344,0.01322149619624989,0.0003120673908175316,0.0059540325062236886,3.5919548079592052e-06,0.005240028022681071
SND2018101809322606,55.360046,33.91455,402.12286,93.67201,0.0003763528451506853,0.011906745482459966,0.00025599193984801426,0.005348212950628359,1.970324854291944e-06,0.004587987013475236
SND2018101809322607,55.366215,33.90622,403.00668,93.78327,0.0003120812623433242,0.010699911119118211,0.00020914824297293781,0.004793559616201667,1.0676758504880172e-06,0.004006237668766688
SND2018101809322608,55.37227,33.89785,403.4883,93.61816,0.00028286497392302455,0.010116218570429446,0.00018809747816891752,0.004525838100087222,7.74043393815927e-07,0.00373102308909372
SND2018101809322631,55.32215,33.97554,404.80887,93.58282,0.0013406391497989799,0.02458402415363517,0.0010084681015322342,0.01124051839395109,0.00012581128986668123,0.01151051078524577
SND2018101809322632,55.32876,33.967422,405.834,93.56249,0.0011534605441237038,0.022562208559780344,0.0008573887447274262,0.010294408369272002,7.691875287835453e-05,0.010323031982973541
SND2018101809322633,55.3353,33.959267,404.14423,93.60913,0.0009813423309886975,0.020574497365701928,0.0007201686018969517,0.00936628279032534,4.533154537707557e-05,0.009183148262584689
SND2018101809322634,55.34178,33.951008,403.2525,93.71546,0.0008266592967326613,0.018655898513278982,0.0005984627808269369,0.008472510889392076,2.586193317739307e-05,0.008110618396709046
SND2018101809322635,55.34812,33.942787,403.66876,93.834885,0.0006937380940924499,0.016879861021345234,0.0004953057330712383,0.007647154511575039,1.4573544090578614e-05,0.007143828851250974
SND2018101809322636,55.35439,33.934498,403.3839,93.79343,0.0005789930915158026,0.015224987837629333,0.0004075012396207524,0.006880017417709627,8.065767225251168e-06,0.006267246753058363
SND2018101809322637,55.36056,33.92617,401.87512,93.84846,0.0004810876640234278,0.01369762650826123,0.0003336605137906701,0.00617379965510512,4.399680797890739e-06,0.005480589768981656
SND2018101809322638,55.366623,33.9178,402.74094,93.85207,0.0003982870124332264,0.012297946881915201,0.0002721301509454733,0.005528309727370054,2.3715404923627427e-06,0.004780073540569854
SND2018101809322671,55.316452,33.995525,404.60837,93.73562,0.0019650455165705254,0.03057893643426658,0.0015236382952678196,0.014056548656487344,0.00043960201277087587,0.01518208585941277
SND2018101809322672,55.323063,33.987415,401.86734,93.64452,0.0017221241420554763,0.02836071068838369,0.0013213945230148981,0.013012830492045565,0.0002854637953334699,0.013798671270527902
SND2018101809322673,55.329628,33.97921,404.20908,93.72923,0.0014822300887413252,0.026033780612876072,0.0011238831068355601,0.011920118220331608,0.00017473834799945772,0.012378443210253415
SND2018101809322674,55.336113,33.970955,405.26282,93.60091,0.001259200905745783,0.023720319997277476,0.0009425156583038551,0.01083610449187396,0.00010248675774691927,0.010999884506934333
SND2018101809322675,55.342457,33.962734,404.70236,93.69451,0.001061289570628599,0.02151495113326908,0.0007836873494041982,0.009805148946221278,5.8572003180735915e-05,0.009718944269149132
SND2018101809322676,55.34873,33.95445,404.72388,93.70729,0.0008889136405491776,0.019445171948653472,0.000647245298544668,0.008839930606872276,3.279706649357963e-05,0.008548414257285745
SND2018101809322677,55.354908,33.94612,403.42007,93.810234,0.0007406942339622584,0.0175227102142845,0.0005315825202396336,0.00794566336242033,1.805636127970887e-05,0.007490755132905959
SND2018101809322678,55.361,33.937744,403.18152,93.79766,0.0006142291367735998,0.01574704972050441,0.00043432925500750454,0.007121815001648294,9.785744095151103e-06,0.006541146236730145
SND2018101809322701,55.310757,34.0155,404.56247,93.58457,0.0027550175609826347,0.037082783318447096,0.0021941309913259535,0.01712700796184951,0.0013280733032868682,0.01939043579664739
SND2018101809322702,55.317375,34.007374,403.9256,93.64433,0.0025002665716150965,0.035085244066145285,0.0019759929340712693,0.01618244820229328,0.0009668275468997547,0.01807496068063235
SND2018101809322703,55.323944,33.999172,404.21896,93.66101,0.002203734888010948,0.032646394934594876,0.0017243039254150353,0.01503100436953055,0.0006396739741425189,0.016496040052371624
SND2018101809322704,55.330433,33.99092,402.68317,93.63308,0.0019008745582001325,0.03000499020846743,0.001470009425181966,0.013786312214938458,0.0003943493356305636,0.014821467367196582
SND2018101809322705,55.336777,33.982708,403.09006,93.890495,0.0016178229967545026,0.027367320992151015,0.0012352331565771539,0.012546060862669737,0.00023268699902570335,0.013188372282773288
SND2018101809322706,55.343052,33.974426,404.2789,93.70181,0.0013612961913010847,0.024799491824110037,0.0010252484537214264,0.011341462022804387,0.00013226583106584535,0.011638656248532577
SND2018101809322707,55.349236,33.966103,406.0892,93.52069,0.0011387574878818263,0.022397626817471202,0.0008455996280226155,0.010217481256563557,7.375689906888922e-05,0.010227587656007625
SND2018101809322708,55.355328,33.95773,404.6671,93.73531,0.0009471052189204283,0.02016173305795736,0.0006930902418741779,0.009173818756787046,4.035893839163919e-05,0.008950040965970844
SND2018101809322731,55.30505,34.035484,404.27106,93.45999,0.003485551070689134,0.042409853304840456,0.002828160016441705,0.019651913382744707,0.002867086289404724,0.022990452665702044
SND2018101809322732,55.311672,34.027363,406.30014,93.503426,0.003402251594078441,0.041828437764801024,0.002755284910962116,0.01937593928838504,0.0026489209353546526,0.022591305186492175
