# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2017-07-21
# NFiles = 288, max geo IngestTime = 2018-01-29 19:56:28.888425
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2017202.1540.061.2018029190411.hdf,2017-07-21 15:40,61,80930,N,171.793104309608,47.8677834741767,26.4698285708164,140.151289276967,141.828672317887,171.796377603276,163.955608212481,140.13048054032,47.8861959461919,43.5843765028972,26.3895781943296,29.6124521555635
MYD03.A2017202.1545.061.2018029190240.hdf,2017-07-21 15:45,61,80930,N,163.616292494434,29.9425418028352,8.88603343040409,137.295537449809,139.968780037902,163.621418872369,158.509805900796,137.273485655175,29.9711955169358,26.5418963277287,8.85307128012625,11.8103904368061
MYD03.A2017202.1550.061.2018029190242.hdf,2017-07-21 15:50,61,80930,N,158.330558131489,12.0132597751395,-8.93796187813422,133.560739712743,137.195755599086,158.33698503471,154.518416560755,133.55471041121,12.0442167127847,8.95736204191073,-8.94652996985259,-5.89429299612988
MYD03.A2017202.1555.061.2018029184906.hdf,2017-07-21 15:55,61,80930,N,154.503932409605,-5.81904170005514,-26.9253221840049,128.473558292685,133.536278319032,154.664839866711,151.569112916534,128.466523943429,-5.79526905084223,-8.88132790308697,-27.0710201247285,-23.5714587893457
MYD03.A2017202.1600.061.2018029192437.hdf,2017-07-21 16:00,61,80930,N,151.588384327431,-23.4965443651489,-44.8040886702919,120.849800007033,128.49131840654,151.955093235271,149.5584886276,120.799107262861,-23.4806359251362,-26.8701885306766,-45.0738653112366,-40.6326370221883
MYD03.A2017202.1605.061.2018029191336.hdf,2017-07-21 16:05,61,80930,N,149.600915429887,-40.5759671908688,-62.6310293480661,107.253022095535,120.887074048857,150.150404217962,149.10168540884,107.019842364182,-40.5656882246355,-44.7315284691548,-62.9684697781385,-56.4554373951128
MYD03.A2017202.1610.061.2018029185252.hdf,2017-07-21 16:10,61,80930,N,156.73161776886,-56.4748528574371,-80.4689520199744,77.0031564743126,107.331348465272,149.927592366536,157.239020646373,76.676335344466,-56.4701246142206,-62.4926774846619,-80.5682650688545,-68.4490982617101
MYD03.A2017202.1615.061.2018029190944.hdf,2017-07-21 16:15,61,80930,N,180,-68.6606740416244,-89.9875101845111,-180,77.1974179813328,158.783724626998,-59.0164297600839,25.4381793571564,-68.6594665456055,-79.956438882656,-80.8476064565255,-68.8820792878023
MYD03.A2017202.1620.061.2018029190900.hdf,2017-07-21 16:20,61,80930,B,25.1942954707377,-57.563840382998,-81.7407817038978,-60.1840647315654,25.1963074595966,-61.9989150779541,-50.2468161686247,-6.38238511094551,-69.2603664559742,-81.2638025454807,-63.3570142292731,-57.3092693819917
MYD03.A2017202.1625.061.2018029193205.hdf,2017-07-21 16:25,61,80930,D,-7.01150202085172,-41.8014264541958,-63.8978245741203,-50.6440042858876,-7.01009155997364,-50.8105278996324,-50.6427041207189,-20.7873692741273,-57.629346846679,-63.8565175456621,-45.6374667006582,-41.6371947244992
MYD03.A2017202.1630.061.2018029192023.hdf,2017-07-21 16:30,61,80930,D,-21.3391781501948,-24.768085942652,-46.0666635694989,-52.5684582005632,-21.3361718445626,-50.7953109459848,-52.5915380166721,-28.813153725234,-41.8745588903158,-46.084759798297,-27.86123092637,-24.6719176080728
MYD03.A2017202.1635.061.2018029193312.hdf,2017-07-21 16:35,61,80930,D,-29.2350005291224,-7.19272769427186,-28.1805540382248,-55.4030068008084,-29.2300457996933,-52.6348993334565,-55.4229042233061,-34.1738918247005,-24.8401639914494,-28.2021052098195,-10.0783193095802,-7.14690896963228
MYD03.A2017202.1640.061.2018029190746.hdf,2017-07-21 16:40,61,80930,D,-34.4399969920487,10.6393970296755,-10.2673243522832,-59.1507091401826,-34.4338074134437,-55.3951343834151,-59.1561232628569,-38.161071382442,-7.26688988467703,-10.286011327476,7.64914993441063,10.6719157825606
MYD03.A2017202.1645.061.2018029190528.hdf,2017-07-21 16:45,61,80931,D,-38.2598362238351,28.5773369743437,7.57744557842625,-64.3048526671662,-38.1716717004917,-59.1411198161799,-64.3763138285838,-41.2038646794538,10.5766078642451,7.55976264301296,25.2526811914884,28.7318246438512
MYD03.A2017202.1650.061.2018029192358.hdf,2017-07-21 16:50,61,80931,D,-41.1742452630223,46.6046539166739,25.1978083873288,-72.2306262999305,-40.896118172938,-64.2830476596805,-72.4045094313614,-43.2985772256446,28.5172939794469,25.1834070754644,42.4094474303283,46.8812279051552
MYD03.A2017202.1655.061.2018029192316.hdf,2017-07-21 16:55,61,80931,D,-43.25522881707,64.5100166289659,42.392864795804,-86.8013711958234,-42.8298291260661,-72.1910440848736,-87.1333557019102,-43.8989861118351,46.5314855263451,42.3834570103296,58.1617375256642,64.8506714222477
MYD03.A2017202.1700.061.2018029185844.hdf,2017-07-21 17:00,61,80931,D,-33.9285929003788,82.4378649611367,58.2276303256708,-120.246203184561,-42.8935010375503,-86.7163652430261,-120.567316466085,-33.2132595169205,64.3794823086452,58.2192106019841,69.5301829231414,82.503847718211
MYD03.A2017202.1705.061.2018029185553.hdf,2017-07-21 17:05,61,80931,D,180,89.9895130826764,68.5671812231739,-180,-31.5294306495064,-120.04494311119,-172.534267710096,112.845327747277,81.8969027869454,69.790363020591,68.2370668918982,78.950999579532
MYD03.A2017202.1710.061.2018029185437.hdf,2017-07-21 17:10,61,80931,B,-172.885715332388,79.6847055988948,55.9190896516796,112.138011605011,110.453763715114,-172.883698382489,158.453254153588,118.013788308869,79.3838333463859,68.6025264819923,55.6911288626847,61.2661477850195
MYD03.A2017202.1715.061.2018029191807.hdf,2017-07-21 17:15,61,80931,N,157.8605389633,61.7676116707687,39.7820791530089,117.10092093341,117.431855772832,157.861879919244,145.285847104359,117.095156868763,61.7539130078327,55.9813400587354,39.6577458034103,43.4571447288421
MYD03.A2017202.1720.061.2018029193303.hdf,2017-07-21 17:20,61,80931,N,144.856678187859,43.8656464286806,22.5744060519625,114.860113733486,116.793678954125,144.860466028083,137.843073942998,114.838682835984,43.8853834890471,39.8502703441769,22.5061568010683,25.6332963093147
MYD03.A2017202.1725.061.2018029192553.hdf,2017-07-21 17:25,61,80931,N,137.53764318803,25.9354482340921,4.91940384357156,111.82299887527,114.696278436392,137.543081785172,132.799952454992,111.803362900102,25.9651632234548,22.6467854941241,4.89448860123,7.84584043586383
MYD03.A2017202.1730.061.2018029192006.hdf,2017-07-21 17:30,61,80931,N,132.655599959878,8.01767223197425,-12.9329104069301,107.848405305587,111.739287534074,132.686808741584,129.060260535652,107.842133103848,8.04816740641642,4.98717385822006,-12.9704474765164,-9.85086726177639
MYD03.A2017202.1735.061.2018029190654.hdf,2017-07-21 17:35,61,80931,N,129.067502827886,-9.77561593904563,-30.834092908918,102.363788967794,107.835316538459,129.270441589299,126.33530924844,102.356431622212,-9.75367592889638,-12.8783023126372,-31.0075051242595,-27.3549726379917
MYD03.A2017202.1740.061.2018029192333.hdf,2017-07-21 17:40,61,80931,N,126.367770992162,-27.2838585962664,-48.7872808100481,93.82292743902,102.386698924158,126.761182891785,124.543489532751,93.7332939160295,-27.2694910930658,-30.7770503694714,-49.0832073309488,-44.3149417564548
